name,smiles,indication
Aspirin,CC(=O)OC1=CC=CC=C1C(=O)O,Pain relief and anti-inflammatory
Caffeine,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,CNS stimulant
Ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,Pain relief (NSAID)
Paracetamol,CC(=O)NC1=CC=C(O)C=C1,Pain and fever reducer
Metformin,CN(C)C(=N)NC(=N)N,Type 2 diabetes
Penicillin V,CC1(C)SC2C(NC(=O)COC3=CC=CC=C3)C(=O)N2C1C(=O)O,Antibiotic
Amoxicillin,CC1(C)SC2C(NC(=O)C(N)C3=CC=C(O)C=C3)C(=O)N2C1C(=O)O,Antibiotic
Atorvastatin,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C(N1CCC(CC(CC(=O)O)O)O)C3=CC=C(F)C=C3)C4=CC=CC=C4,Cholesterol lowering (statin)
Omeprazole,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=CC=CC=C3N2,Gastric acid reducer (PPI)
Losartan,CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)CO)Cl,Hypertension (ARB)
Amlodipine,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN,Hypertension (calcium channel blocker)
Simvastatin,CCC(C)(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C,Cholesterol lowering (statin)
Metoprolol,COC1=CC=C(C=C1)CCOC(CNC(C)C)O,Beta-blocker for hypertension
Ciprofloxacin,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,Fluoroquinolone antibiotic
Azithromycin,CCC1C(C(C(N(CC(CC(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O,Macrolide antibiotic
Lisinopril,C(CC(C(=O)O)NC(CCCCN)C(=O)O)CC1=CC=CC=C1,ACE inhibitor for hypertension
Levothyroxine,NC(CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(=O)O,Hypothyroidism
Gabapentin,NCC1(CCCCC1)CC(=O)O,Neuropathic pain and epilepsy
Prednisone,CC12CCC(=O)C=C1CCC3C2C(O)CC4(C3CCC4(O)C(=O)CO)C,Corticosteroid anti-inflammatory
