smiles,activity_label
CC(=O)OC1=CC=CC=C1C(=O)O,1
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,1
CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,1
CC(=O)NC1=CC=C(O)C=C1,1
CN(C)C(=N)NC(=N)N,1
CC1(C)SC2C(NC(=O)COC3=CC=CC=C3)C(=O)N2C1C(=O)O,1
NCCc1ccc(O)c(O)c1,1
CC12CCC3C(CCC4=CC(=O)CCC34C)C1CCC2(O)C#C,1
OC(=O)C1=CC=CC=C1O,1
CC(=O)OC1=CC=CC=C1,0
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,0
CCCCCCCCCCCCCCCC(=O)O,0
C1CCCCC1,0
C1=CC=CC=C1,0
CCCCCCCC,0
CC(C)(C)C1=CC=CC=C1,0
OC1=CC=CC=C1,1
CC(O)C(=O)O,1
OC(=O)C(F)(F)F,0
C1=CC=C(C=C1)C(=O)O,1
O=C1NC(=O)C(=C1C2=CC=CC=C2)C3=CC=CC=C3,0
CC1=CC=C(C=C1)S(=O)(=O)N,1
OC(=O)CCCCC(=O)O,1
CC(=O)OC1=CC(=CC=C1OC(C)=O)C(O)=O,1
CC1=C(C=CC=C1)NC(=O)C2=CC=CC=C2,0
OC1=CC(=CC=C1)O,1
CC(CC1=CC=CC=C1)NC,1
CC(=O)C1=CC=CC=C1,0
OC(C1=CC=CC=C1)C2=CC=CC=C2,0
CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3,1
CC1=CC(=NO1)C2=CC=CC=C2S(=O)(=O)N,1
OC1=C(Cl)C=CC(=C1)Cl,0
CC(C)NCC(O)C1=CC=C(O)C(=C1)CO,1
OC(=O)C1=CC(=CC=C1O)O,1
CC12CCC(=O)C=C1CCC3C2CCC4(C3CCC4(O)C(=O)CO)C,1
CC(=O)NCC(=O)O,1
C(CCN)CCN,0
CC1(C)C2CCC1(C)C(=O)C2,0
OC(=O)C(=CC1=CC=CC=C1)C2=CC=CC=C2,0
ClC1=CC=C(C=C1)C(Cl)(Cl)Cl,0
CC(=O)OC1CCCCC1OC(C)=O,0
CC(O)CC(=O)O,1
OC(=O)C=CC(=O)O,1
C1CC1N2C=NC3=C(N)N=CN=C32,1
ClC1=CC=C(C=C1)Cl,0
CC(C)C(=O)OC1=CC=CC=C1,0
OC(=O)C(O)C(O)C(=O)O,1
NC1=CC=C(C=C1)N,0
CC(=O)NC1=CC=C(C=C1)OCC(O)CNC(C)C,1
OC(=O)C1CCCN1,1
C1=CN=CC=C1C(=O)O,1
OC1=CC=C(C=C1)CC(N)C(=O)O,1
CC(C)C1=CC(=CC(=C1O)C(C)C)C(C)C,0
CC(N)CC1=CC=CC=C1,1
CC1=CC=CC=C1N,0
CC1=CC(=CC=C1)C(=O)O,1
CCOC(=O)C1=CC=CC=C1N,0
OC(=O)CCS,1
OC(=O)C(N)CC(=O)N,1
NC(=O)C1=CC=NC=C1,1
OC(=O)C(N)CCC(=O)O,1
CC(C)(O)C=C,0
OC(=O)C=CC=CC(=O)O,0
OC(=O)C(O)=CC(=O)O,0
CCCC(CCC)C(=O)O,0
CC(=O)C(=O)O,1
CCCC(=O)O,0
CC1=CC=C(C=C1)N,0
OC(=O)C1=CC=CC=C1Cl,0
OC1=CC=C(C=C1)C(=O)O,1
O=C1CCCC(=O)N1,1
CCC(=O)O,0
CC(CC(=O)O)C(=O)O,1
OC(=O)C1CC1,0
CN1C(=O)CN=C(C2=CC=CC=C2)C1=O,1
CC(C)CC(=O)O,0
C(C(=O)O)N,1
OC(=O)C1=CC=C(O)C=C1,1
OC(=O)C(=O)C(O)C(O)C(O)CO,1
CC(=O)N(C)C,0
OC(=O)CC(O)(CC(=O)O)C(=O)O,1
CC1=CC=CC=C1O,1
CCC(CC)O,0
CCCCCC(=O)O,0
OC(=O)C1=CC=CC(=C1)O,1
CC(C)(C)NCC(O)C1=CC(=C(O)C=C1)CO,1
OC1=CC=C(C=C1)O,1
OC(=O)C(CC1=CC=CC=C1)NC(=O)C(N)CC2=CC=CC=C2,1
CCCCC(=O)OCC,0
CC1=CC=C(C=C1)C(=O)O,1
OC(=O)CCCC(=O)O,1
OC(=O)CCC(=O)O,1
CC(O)C(=O)OC1=CC=CC=C1,0
OC1CCCC(=O)O1,1
C(CO)N,1
OC(=O)C(=O)O,1
OC(=O)C1=CC=NC=C1,1
OC1=CC=CC(=C1)C(O)=O,1
CC(=O)NC1=CC=CC=C1,0
OC1=C(C=CC=C1)C(=O)O,1
OC(=O)CCC(N)C(=O)O,1
CC(=O)OC(C)C(=O)O,0
CCCCCCCCCC(=O)O,0
OC1=CC=CC=C1O,1
OC(=O)C1=C(O)C=CC=C1,1
CC1CCCC(=O)O1,0
C1=CC=C(C=C1)CC(N)C(=O)O,1
CC(N)C(=O)O,1
OC(=O)C1=CC(O)=CC=C1,1
OC(=O)C1CCC(=O)N1,1
CC(C)NCC(O)C1=CC=CC=C1,1
OC(=O)C1=CC=C(N)C=C1,1
CC1=CC=CC=C1Cl,0
C(=O)(N)N,1
OCC(O)CO,1
CC(=O)OC(CC(=O)O)C(=O)O,0
CCCCCCCCCCCC(=O)O,0
ClC(Cl)=C(Cl)Cl,0
CC1=CC(=CC=C1)O,1
CCCCCCCC(=O)O,0
C(CC(=O)O)C(=O)O,1
OC1=CC(=CC=C1)CC(N)C(=O)O,1
CC(C)(C)C1=CC=CC=C1O,0
OC(=O)C(Cl)Cl,0
CC1=C(C(=CC=C1)C)N,0
NC(=O)C1=CC=CC=C1,0
OC(=O)C1=CC=C(Cl)C=C1,0
NC(N)=O,1
CC(=O)OCC,0
OCC1OC(O)C(O)C(O)C1O,1
OC(=O)C1CCCC1,0
CC1=C(O)C=CC=C1,1
CC(C)O,0
OC(=O)CC(=O)O,1
CC(O)C(O)C(O)C(O)CO,1
NC(=O)CC(N)C(=O)O,1
CC1CC=CC(=O)O1,0
CC(C)CC(C)(C)O,0
